our_code,our_label,our_status,our_ziel,s_sheet,s_row,s_label,s_status_value,s_ziel_value,s_status_formula,s_ziel_formula,d_status_ref,d_ziel_ref,label_overlap,status_match,status_scale,ziel_match,ziel_scale,confidence
2.2.1.1,Vollbetriebstunden jährlich,2823.0,3232.0,2. Erneuerbare,36,*,2823,3232,=AT36,"=IF(P36="""",AU36,P36)",,,0.0,True,1.0,True,1.0,HIGH
2.2.1.2,Bruttostromerzeugung Deutschland,23535.351,226240.0,2. Erneuerbare,37,Bruttostromerzeugung Deutschland,23535.351,226240,=L35*L36/1000,=M35*M36/1000,,,1.0,True,1.0,True,1.0,HIGH
2.2.1.2.1,Einwohner Deutschland,84669326.0,84669326.0,2. Erneuerbare,38,/,84669326,84669326,=AT38,"=IF(P38="""",AU38,P38)",,,0.0,True,1.0,True,1.0,HIGH
2.2.1.2.2,Energieverbraucher Deutschland 100%EE,84669326.0,84669326.0,2. Erneuerbare,38,/,84669326,84669326,=AT38,"=IF(P38="""",AU38,P38)",,,0.0,True,1.0,True,1.0,HIGH
2.2.1.2.3,Bruttostromerz.Anteil Deutschland 100%EE,23535.350999999995,226239.99999999997,2. Erneuerbare,40,Bruttostromerz.Anteil Deutschland 100%EE,23535.350999999995,226239.99999999997,=L37/L38*L39,=M37/M38*M39,,,1.0,True,1.0,True,1.0,HIGH
2.2.1,Install. Offshore-Leistung Deutschland,8337.0,70000.0,2. Erneuerbare,35,Install. Offshore-Leistung Deutschland,8337,70000,=AT35,"=IF(P35="""",AU35,P35)",,,1.0,True,1.0,True,1.0,HIGH
3.,Laufwasser,39949342.27816993,42301794.86816328,2. Erneuerbare,42,Laufwasser,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
3.1,Bodenfläche Nds.,35759529.0,35759529.0,2. Erneuerbare,43,Bodenfläche Nds.,35759529,35759529,=AP43,"=IF(P43="""",AQ43,P43)",,,1.0,True,1.0,True,1.0,HIGH
3.1.1,Nutzanteil am techn. Potenzial,79.0,79.0,2. Erneuerbare,44,*,79.01899631414801,79.01899631414801,=AT44,"=IF(P44="""",AU44,P44)",,,0.0,True,1.0,True,1.0,HIGH
3.1.1.1,Energieertrag (techn. Potenzial),0.69,0.69,2. Erneuerbare,45,*,0.6904173709894221,0.6904173709894221,=AT45,"=IF(P45="""",AU45,P45)",,,0.0,True,1.0,True,1.0,HIGH
3.1.1.2,Bruttostromerzeugung,19492.5192579,19492.5192579,2. Erneuerbare,46,Bruttostromerzeugung,19509.000000000004,19509.000000000004,=L43*L44%*L45/1000,=M43*M44%*M45/1000,,,1.0,True,1.0,True,1.0,HIGH
4.,Biogene Brennstoffe (fest),47659883.00765544,47934441.2626911,2. Erneuerbare,17,Installierte Leistung,47857,394410.03756084346,=L15*1000/L16,=M15*1000/M16,,,0.0,True,0.001,False,1.0,MED
4.1,Energieholz,10086723.667438,9472655.639714886,2. Erneuerbare,49,Energieholz,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
4.1.1,Aus Forstwirtschaft,9866633.0,9373000.0,2. Erneuerbare,51,Nutzbare Forstfläche,9866633,9373000,=AP51,"=IF(P51="""",AQ51,P51)",,,0.0,True,1.0,True,1.0,HIGH
