our_code,our_label,status_ours,ziel_ours,excel_row,excel_label,status_col,status_excel,ziel_col,ziel_excel,confidence,notes
4.1.2.1,Energieholz / Solar,11200.0,11200.0,267,"- STATUS-Ansatz:  Gemäß einer Studie des Von Thünen-Instituts [9.109], S. 17, wa",W,11200.0,W,11200.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.1.2.1.1,Energieholz / Solar,29.9,51.4,,,,,,,LOW,no value+label match
4.1.2.1.2,Energieholz / Solar,334.88,575.68,,,,,,,LOW,no value+label match
4.1.3,Energieholz / Solar,120437.06219047999,71301.488608,,,,,,,LOW,no value+label match
4.1.3.1,Energieholz / Solar,73.3,0.0,,,,,,,LOW,no value+label match
4.1.3.2,Energieholz / Solar,21.300000000000004,100.0,,,,,,,LOW,no value+label match
4.1.3.3,Energieholz / Solar,5.4,0.0,,,,,,,LOW,no value+label match
4.1.3.4,Energieholz / Solar,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.05
4.2,Stroh / Solar,6128961.64905,5631325.0,,,,,,,LOW,no value+label match
4.2.1,Stroh / Solar,6076200.0,5631255.0,,,,,,,LOW,no value+label match
4.2.1.1,Stroh / Solar,0.2,33.0,,,,,,,LOW,no value+label match
4.2.1.1.1,Stroh / Solar,20.1,23.8339,,,,,,,LOW,no value+label match
4.2.1.1.2,Stroh / Solar,244.26324000000002,44290.87361968499,,,,,,,LOW,no value+label match
4.2.1.1.2.1,Stroh / Solar,0.0,0.0,328,- ZIEL-Ansatz: Auf die Verstromung von Stroh wird zugunsten der Prozesswärme ver,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
4.2.1.1.2.2,Stroh / Solar,0.0,100.0,,,,,,,LOW,no value+label match
4.2.1.1.2.3,Stroh / Solar,100.0,0.0,,,,,,,LOW,no value+label match
4.2.1.1.2.4,Stroh / Solar,0.0,0.0,328,- ZIEL-Ansatz: Auf die Verstromung von Stroh wird zugunsten der Prozesswärme ver,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
4.3,NAWARO gesamt / Solar,120681.32543047999,115592.362227685,,,,,,,LOW,no value+label match
4.3.1,NAWARO gesamt / Solar,88453.6052475208,0.0,,,,,,,LOW,no value+label match
4.3.2,NAWARO gesamt / Solar,25653.094246572244,115592.362227685,,,,,,,LOW,no value+label match
4.3.3,NAWARO gesamt / Solar,6747.86459828592,0.0,,,,,,,LOW,no value+label match
4.3.3.1,NAWARO gesamt / Solar,25.0,35.0,338,- STATUS-Ansatz: Annahme von 25% el. orientiert der jüngeren der beiden recherch,W,25.0,AG,35.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.3.3.2,NAWARO gesamt / Solar,1686.96614957148,0.0,,,,,,,LOW,no value+label match
4.3.3.3,NAWARO gesamt / Solar,45.0,45.0,37,Energieverbraucher (nach Verursacher-Prinzip),AG,45.0,AG,45.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.3.3.4,NAWARO gesamt / Solar,3036.539069228664,0.0,,,,,,,LOW,no value+label match
4.3.4,NAWARO gesamt / Solar,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.3.4.1,NAWARO gesamt / Solar,75.0,75.0,126,- ZIEL-Ansatz: 199.398 ha solare Absorberfläche auf Dächern. Der Wert resultiert,AG,75.0,AG,75.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.3.4.2,NAWARO gesamt / Solar,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.4,Biogener Anteil Abfälle / Solar,14438.0,14438.0,,,,,,,LOW,no value+label match
4.4.1,Biogener Anteil Abfälle / Solar,4525.0,4525.0,357,- STATUS-Ansatz: 4.525 GWh  Nettostromerzeugung aus biogenem Anteil des Abfalls ,W,4525.0,W,4525.0,MED-VALUE-ONLY,both-match; label_overlap=0.05
4.4.2,Biogener Anteil Abfälle / Solar,9913.0,9913.0,362,- ZIEL-Ansatz: Beibehaltung des Statuswertes aufgrund einer aus heutiger Sicht s,W,9913.0,W,9913.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
5, / Biogas,,,,,,,,,LOW,no value+label match
5.1,Main / Biogas,1410000.0,1307000.0,,,,,,,LOW,no value+label match
5.1.1,Main / Biogas,50.9,40.7528,,,,,,,LOW,no value+label match
5.1.2,Main / Biogas,71769.0,53263.9096,,,,,,,LOW,no value+label match
5.2,Main / Biogas,15998.0,44571.0,,,,,,,LOW,no value+label match
5.3,Main / Biogas,4558.0,12762.0,395,"- ZIEL-Ansatz: 12.762 GWh resultieren aus der Annahme, dass diese Biogasmenge si",AG,4557.894736842105,W,12762.105263157895,MED-VALUE-ONLY,both-match; label_overlap=0.00
5.4,Main / Biogas,92325.0,110596.9096,,,,,,,LOW,no value+label match
5.4.1,Main / Biogas,0.0,15.510515772029533,,,,,,,LOW,no value+label match
5.4.1.1,Main / Biogas,0.0,17154.151106885245,,,,,,,LOW,no value+label match
5.4.2,Main / Biogas,96.1,0.0,403,- STATUS-Ansatz: Lediglich 25 % von 11.219 GWh zu Biomethan verarbeiteten Biogas,W,96.0951132355671,AN,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
5.4.2.1,Main / Biogas,37.5,45.0,,,,,,,LOW,no value+label match
5.4.2.2,Main / Biogas,33271.621875,0.0,,,,,,,LOW,no value+label match
5.4.2.3,Main / Biogas,21.9,25.0,,,,,,,LOW,no value+label match
5.4.2.4,Main / Biogas,19430.627174999998,0.0,,,,,,,LOW,no value+label match
5.4.3,Main / Biogas,1.2,84.5,,,,,,,LOW,no value+label match
5.4.3.1,Main / Biogas,98.0,98.0,425,- STATUS-Ansatz: ein Wandlungsnutzungsgrad Biogas - Biomethan von 98% resultiert,W,98.0,W,98.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
5.4.3.2,Main / Biogas,1085.7420000000002,91585.30083975999,,,,,,,LOW,no value+label match
5.4.4,Main / Biogas,2.7,0.0,,,,,,,LOW,no value+label match
5.4.4.1,Main / Biogas,45.0,45.0,410,- ZIEL-Ansatz: Orientiert am oberen Ende der Bandbreite heutiger elektrischer Wi,W,45.0,W,45.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
5.4.4.2,Main / Biogas,1121.74875,0.0,,,,,,,LOW,no value+label match
6,Main / Biogene Brennstoffe (flüssig),,,,,,,,,LOW,no value+label match
6.1,Biodiesel / Biogene Brennstoffe (flüssig),738429.602,498520.30083976,,,,,,,LOW,no value+label match
6.1.1,Biodiesel Anbau / Biogene Brennstoffe (flüssig),665000.0,303000.0,,,,,,,LOW,no value+label match
6.1.1.1,Biodiesel Details / Biogene Brennstoffe (flüssig),17.8,14.2,,,,,,,LOW,no value+label match
6.1.1.2,Biodiesel Details / Biogene Brennstoffe (flüssig),11837.0,4302.6,,,,,,,LOW,no value+label match
6.1.2,Biodiesel Anbau / Biogene Brennstoffe (flüssig),13403.0,0.0,,,,,,,LOW,no value+label match
6.1.3,Biodiesel Anbau / Biogene Brennstoffe (flüssig),25240.0,4302.6,,,,,,,LOW,no value+label match
6.1.3.1,Biodiesel Details / Biogene Brennstoffe (flüssig),99.1,100.0,,,,,,,LOW,no value+label match
6.1.3.1.1,Biodiesel Details / Biogene Brennstoffe (flüssig),25012.84,4302.6,,,,,,,LOW,no value+label match
6.1.3.2,Biodiesel Details / Biogene Brennstoffe (flüssig),0.9,0.0,,,,,,,LOW,no value+label match
6.1.3.2.1,Biodiesel Details / Biogene Brennstoffe (flüssig),39.0,39.0,463,233 GWh  Verbrauch an flüssigen Biobrennstoffen für Verstromung in Deutschland 2,AG,39.0,AG,39.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
6.1.3.2.2,Biodiesel Details / Biogene Brennstoffe (flüssig),88.5924,0.0,,,,,,,LOW,no value+label match
6.1.3.2.3,Biodiesel Details / Biogene Brennstoffe (flüssig),50.0,50.0,488,- STATUS-Ansatz: Repräsentative Statistikdaten zum thermischen Jahresnutzungsgra,W,50.0,W,50.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
6.1.3.2.4,Biodiesel Details / Biogene Brennstoffe (flüssig),113.58000000000001,0.0,,,,,,,LOW,no value+label match
6.2,Bioethanol / Biogene Brennstoffe (flüssig),0.0,0.0,596,- STATUS-Ansatz: Die elektrolytische Erzeugung von Wasserstoff aus Wind- und Sol,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.05
6.2.1,Bioethanol Anbau / Biogene Brennstoffe (flüssig),216200.0,0.0,,,,,,,LOW,no value+label match
6.2.1.1,Bioethanol Details / Biogene Brennstoffe (flüssig),17.1,13.7,,,,,,,LOW,no value+label match
6.2.1.2,Bioethanol Details / Biogene Brennstoffe (flüssig),3697.0200000000004,0.0,,,,,,,LOW,no value+label match
6.2.2,Bioethanol Anbau / Biogene Brennstoffe (flüssig),4991.0,0.0,,,,,,,LOW,no value+label match
6.2.3,Bioethanol Anbau / Biogene Brennstoffe (flüssig),8688.02,0.0,,,,,,,LOW,no value+label match
7.1,Wärmepumpe / Umgebungswärme,256726.09350785078,137950.4332889042,,,,,,,LOW,no value+label match
7.1.1,Wärmepumpe / Umgebungswärme,71.2,92.23333,,,,,,,LOW,no value+label match
7.1.2,Wärmepumpe / Umgebungswärme,182788.97857758976,127236.27837178485,,,,,,,LOW,no value+label match
7.1.2.1,Wärmepumpe / Umgebungswärme,3.2,4.2,,,,,,,LOW,no value+label match
7.1.2.2,Wärmepumpe / Umgebungswärme,584924.7314482873,534392.3691614964,,,,,,,LOW,no value+label match
7.1.2.3,Wärmepumpe / Umgebungswärme,402135.7528706975,407156.09078971157,,,,,,,LOW,no value+label match
7.1.3,Wärmepumpe / Umgebungswärme,28.8,7.8,,,,,,,LOW,no value+label match
7.1.4.1,Wärmepumpe / Umgebungswärme,3.8,4.9,,,,,,,LOW,no value+label match
7.1.4.2,Wärmepumpe / Umgebungswärme,280961.0367349919,52724.655603019186,,,,,,,LOW,no value+label match
7.1.4.3,Wärmepumpe / Umgebungswärme,207023.92180473084,41964.521806484656,,,,,,,LOW,no value+label match
7.1.4.3.1,Wärmepumpe / Umgebungswärme,1000.0,1000.0,547,"- STATUS-Ansatz: Für Erdreichgekoppelte Wärmepumpenanlagen wird in [9.163], S. 4",W,1000.0,W,1000.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
7.1.4.3.2,Wärmepumpe / Umgebungswärme,207023.92180473084,41964.521806484656,,,,,,,LOW,no value+label match
7.1.4.3.3,Wärmepumpe / Umgebungswärme,3380079.0,3645799.0,,,,,,,LOW,no value+label match
7.1.4.3.4,Wärmepumpe / Umgebungswärme,0.241,1.1,,,,,,,LOW,no value+label match
7,Wärmepumpe / Umgebungswärme,,,,,,,,,LOW,no value+label match
8,Geothermie / Tiefengeothermie,,,,,,,,,LOW,no value+label match
8.1,Geothermie / Tiefengeothermie,57.0,0.0,,,,,,,LOW,no value+label match
8.1.1,Geothermie / Tiefengeothermie,3421.0,3421.0,559,- STATUS-Ansatz: 3.421 h/a  resultieren aus einer Stromerzeugung von 195 GWh/a g,W,3421.0526315789475,W,3421.0526315789475,MED-VALUE-ONLY,both-match; label_overlap=0.00
8.1.2,Geothermie / Tiefengeothermie,194.997,0.0,,,,,,,LOW,no value+label match
8.2,Geothermie / Tiefengeothermie,1797.0,12000.0,,,,,,,LOW,no value+label match
9,Stromspeicherung / Stromwandlung,,,,,,,,,LOW,no value+label match
9.1,Stromwandlung / Stromwandlung,256726.09350785078,1941430.032365274,,,,,,,LOW,no value+label match
9.1.1,Stromwandlung / Stromwandlung,135042.22824137931,706236.3411426758,,,,,,,LOW,no value+label match
9.1.2,Stromwandlung / Stromwandlung,62424.168584,1211176.171964698,,,,,,,LOW,no value+label match
9.1.3,Stromwandlung / Stromwandlung,19687.5162579,19492.5192579,,,,,,,LOW,no value+label match
