our_code,our_label,status_ours,ziel_ours,status_excel_row,status_col,status_scale,status_excel_label,ziel_excel_row,ziel_col,ziel_scale,ziel_excel_label,confidence
4.1.3.1,Energieholz / Solar,73.3,0.0,282,W,1,"- STATUS-Ansatz: 73,3 % als Verhältnis von 87.883 ",,,,,MED
4.1.3.2,Energieholz / Solar,21.300000000000004,100.0,287,W,1,"- STATUS-Ansatz: 21,3 % als Verhältnis von 25.589 ",289,W,1,- ZIEL-Ansatz: Energieholz ist hier vorrangig für ,HIGH
4.1.3.3,Energieholz / Solar,5.4,0.0,292,W,1,"- STATUS-Ansatz: 5,4 % als Verhältnis von 6.470 GW",,,,,MED
4.1.3.4,Energieholz / Solar,0.0,0.0,,,,,,,,,ZERO
4.2,Stroh / Solar,6128961.64905,5631325.0,,,,,,,,,LOW
4.2.1,Stroh / Solar,6076200.0,5631255.0,,,,,,,,,LOW
4.2.1.1,Stroh / Solar,0.2,33.0,,,,,,,,,LOW
4.2.1.1.1,Stroh / Solar,20.1,23.8339,,,,,,,,,LOW
4.2.1.1.2,Stroh / Solar,244.26324000000002,44290.87361968499,,,,,,,,,LOW
4.2.1.1.2.1,Stroh / Solar,0.0,0.0,,,,,,,,,ZERO
4.2.1.1.2.2,Stroh / Solar,0.0,100.0,,,,,,,,,LOW
4.2.1.1.2.3,Stroh / Solar,100.0,0.0,,,,,,,,,LOW
4.2.1.1.2.4,Stroh / Solar,0.0,0.0,,,,,,,,,ZERO
4.3,NAWARO gesamt / Solar,120681.32543047999,115592.362227685,365,AG,0.0001,Biogas - NAWARO-Anbau,365,AG,0.0001,Biogas - NAWARO-Anbau,HIGH
4.3.1,NAWARO gesamt / Solar,88453.6052475208,0.0,43,W,1000,"- STATUS-Ansatz: GENESIS [9.224], Tabelle 12411-01",,,,,MED
4.3.2,NAWARO gesamt / Solar,25653.094246572244,115592.362227685,,,,,365,AG,0.0001,Biogas - NAWARO-Anbau,MED
4.3.3,NAWARO gesamt / Solar,6747.86459828592,0.0,,,,,,,,,LOW
4.3.3.1,NAWARO gesamt / Solar,25.0,35.0,,,,,,,,,LOW
4.3.3.2,NAWARO gesamt / Solar,1686.96614957148,0.0,,,,,,,,,LOW
4.3.3.3,NAWARO gesamt / Solar,45.0,45.0,,,,,,,,,LOW
4.3.3.4,NAWARO gesamt / Solar,3036.539069228664,0.0,,,,,,,,,LOW
4.3.4,NAWARO gesamt / Solar,0.0,0.0,,,,,,,,,ZERO
4.3.4.1,NAWARO gesamt / Solar,75.0,75.0,,,,,,,,,LOW
4.3.4.2,NAWARO gesamt / Solar,0.0,0.0,,,,,,,,,ZERO
4.4,Biogener Anteil Abfälle / Solar,14438.0,14438.0,,,,,,,,,LOW
4.4.1,Biogener Anteil Abfälle / Solar,4525.0,4525.0,357,W,1,- STATUS-Ansatz: 4.525 GWh  Nettostromerzeugung au,357,W,1,- STATUS-Ansatz: 4.525 GWh  Nettostromerzeugung au,HIGH
4.4.2,Biogener Anteil Abfälle / Solar,9913.0,9913.0,362,W,1,- ZIEL-Ansatz: Beibehaltung des Statuswertes aufgr,362,W,1,- ZIEL-Ansatz: Beibehaltung des Statuswertes aufgr,HIGH
5, / Biogas,,,,,,,,,,,ZERO
5.1,Main / Biogas,1410000.0,1307000.0,378,W,1,"Gemäß FNR [9.109], S. 17,46, lag die Anbaufläche n",,,,,MED
5.1.1,Main / Biogas,50.9,40.7528,393,AN,1,1.732 GWh Stromerzeugung aus Deponie- und Klärgase,,,,,MED
5.1.2,Main / Biogas,71769.0,53263.9096,,,,,393,AN,0.001,1.732 GWh Stromerzeugung aus Deponie- und Klärgase,MED
5.2,Main / Biogas,15998.0,44571.0,,,,,410,W,0.001,- ZIEL-Ansatz: Orientiert am oberen Ende der Bandb,MED
5.3,Main / Biogas,4558.0,12762.0,386,W,1,4.500 GWh  Stromerzeugung aus Biogas entfallen im ,363,AG,0.001,Biogas,HIGH
5.4,Main / Biogas,92325.0,110596.9096,,,,,,,,,LOW
5.4.1,Main / Biogas,0.0,15.510515772029533,,,,,,,,,LOW
5.4.1.1,Main / Biogas,0.0,17154.151106885245,,,,,,,,,LOW
5.4.2,Main / Biogas,96.1,0.0,425,W,1,- STATUS-Ansatz: ein Wandlungsnutzungsgrad Biogas ,,,,,MED
5.4.2.1,Main / Biogas,37.5,45.0,413,AG,1,- STATUS-Ansatz: Mit 18.372 GWh ist die Wärmeberei,410,W,1,- ZIEL-Ansatz: Orientiert am oberen Ende der Bandb,HIGH
5.4.2.2,Main / Biogas,33271.621875,0.0,,,,,,,,,LOW
5.4.2.3,Main / Biogas,21.9,25.0,413,W,1,- STATUS-Ansatz: Mit 18.372 GWh ist die Wärmeberei,,,,,MED
5.4.2.4,Main / Biogas,19430.627174999998,0.0,,,,,,,,,LOW
5.4.3,Main / Biogas,1.2,84.5,,,,,422,W,1,- ZIEL-Ansatz: Biogas ist vorrangig zur Kraftstoff,MED
5.4.3.1,Main / Biogas,98.0,98.0,425,W,1,- STATUS-Ansatz: ein Wandlungsnutzungsgrad Biogas ,425,W,1,- STATUS-Ansatz: ein Wandlungsnutzungsgrad Biogas ,HIGH
5.4.3.2,Main / Biogas,1085.7420000000002,91585.30083975999,,,,,,,,,LOW
5.4.4,Main / Biogas,2.7,0.0,376,W,10000,26.935 GWh  Stromerzeugung aus Biogas entfallen au,,,,,MED
5.4.4.1,Main / Biogas,45.0,45.0,410,W,1,- ZIEL-Ansatz: Orientiert am oberen Ende der Bandb,410,W,1,- ZIEL-Ansatz: Orientiert am oberen Ende der Bandb,HIGH
5.4.4.2,Main / Biogas,1121.74875,0.0,,,,,,,,,LOW
6,Main / Biogene Brennstoffe (flüssig),,,,,,,,,,,ZERO
6.1,Biodiesel / Biogene Brennstoffe (flüssig),738429.602,498520.30083976,,,,,477,W,0.001,Biodiesel - Anteil für Verstromung,MED
6.1.1,Biodiesel Anbau / Biogene Brennstoffe (flüssig),665000.0,303000.0,446,W,1,"- STATUS-Ansatz: Gemäß FNR [9.109], S. 16, 19, lag",448,W,1,- ZIEL-Ansatz: Innerhalb der Extrempositionen (bez,HIGH
6.1.1.1,Biodiesel Details / Biogene Brennstoffe (flüssig),17.8,14.2,452,W,1,"Heizwert Biodiesel gemäß [9.109] S. 38-39: 32,65 M",,,,,MED
6.1.1.2,Biodiesel Details / Biogene Brennstoffe (flüssig),11837.0,4302.6,,,,,,,,,LOW
6.1.2,Biodiesel Anbau / Biogene Brennstoffe (flüssig),13403.0,0.0,459,W,1,- STATUS-Ansatz: Ein Biodiesel-Import von 13.403 G,,,,,MED
6.1.3,Biodiesel Anbau / Biogene Brennstoffe (flüssig),25240.0,4302.6,459,AG,1,- STATUS-Ansatz: Ein Biodiesel-Import von 13.403 G,,,,,MED
6.1.3.1,Biodiesel Details / Biogene Brennstoffe (flüssig),99.1,100.0,323,W,1,- ZIEL-Ansatz: Strohbrennstoffe sind hier vorrangi,323,W,1,- ZIEL-Ansatz: Strohbrennstoffe sind hier vorrangi,HIGH
6.1.3.1.1,Biodiesel Details / Biogene Brennstoffe (flüssig),25012.84,4302.6,459,AG,1,- STATUS-Ansatz: Ein Biodiesel-Import von 13.403 G,,,,,MED
6.1.3.2,Biodiesel Details / Biogene Brennstoffe (flüssig),0.9,0.0,857,W,1000,Nutzungsgrad Endanwend. Brennstoffe für PW,,,,,MED
6.1.3.2.1,Biodiesel Details / Biogene Brennstoffe (flüssig),39.0,39.0,463,AG,1,233 GWh  Verbrauch an flüssigen Biobrennstoffen fü,463,AG,1,233 GWh  Verbrauch an flüssigen Biobrennstoffen fü,HIGH
6.1.3.2.2,Biodiesel Details / Biogene Brennstoffe (flüssig),88.5924,0.0,249,AG,1000,Energiebereitstellung aus Holz in Deutschland 2023,,,,,MED
6.1.3.2.3,Biodiesel Details / Biogene Brennstoffe (flüssig),50.0,50.0,277,W,1,"- ZIEL-Ansatz: 51,4 MWh/ha/a [274], wobei im Gegen",277,W,1,"- ZIEL-Ansatz: 51,4 MWh/ha/a [274], wobei im Gegen",HIGH
6.1.3.2.4,Biodiesel Details / Biogene Brennstoffe (flüssig),113.58000000000001,0.0,,,,,,,,,LOW
6.2,Bioethanol / Biogene Brennstoffe (flüssig),0.0,0.0,,,,,,,,,ZERO
6.2.1,Bioethanol Anbau / Biogene Brennstoffe (flüssig),216200.0,0.0,495,W,1,"- STATUS-Ansatz: Gemäß FNR [9.109], S. 19, lag die",,,,,MED
6.2.1.1,Bioethanol Details / Biogene Brennstoffe (flüssig),17.1,13.7,500,W,1,- STATUS-Ansatz: Resultiert aus einem durchschnitt,,,,,MED
6.2.1.2,Bioethanol Details / Biogene Brennstoffe (flüssig),3697.0200000000004,0.0,,,,,,,,,LOW
6.2.2,Bioethanol Anbau / Biogene Brennstoffe (flüssig),4991.0,0.0,510,W,1,- STATUS-Ansatz: Ein Bioethanol-Import von 4.991 G,,,,,MED
6.2.3,Bioethanol Anbau / Biogene Brennstoffe (flüssig),8688.02,0.0,510,AG,1,- STATUS-Ansatz: Ein Bioethanol-Import von 4.991 G,,,,,MED
7.1,Wärmepumpe / Umgebungswärme,256726.09350785078,137950.4332889042,,,,,,,,,LOW
7.1.1,Wärmepumpe / Umgebungswärme,71.2,92.23333,807,W,1,- ZIEL-Ansatz: Ansatz in Anlehnung an IWES [808] u,,,,,MED
7.1.2,Wärmepumpe / Umgebungswärme,182788.97857758976,127236.27837178485,,,,,,,,,LOW
7.1.2.1,Wärmepumpe / Umgebungswärme,3.2,4.2,,,,,,,,,LOW
7.1.2.2,Wärmepumpe / Umgebungswärme,584924.7314482873,534392.3691614964,,,,,,,,,LOW
7.1.2.3,Wärmepumpe / Umgebungswärme,402135.7528706975,407156.09078971157,,,,,,,,,LOW
7.1.3,Wärmepumpe / Umgebungswärme,28.8,7.8,,,,,,,,,LOW
7.1.4.1,Wärmepumpe / Umgebungswärme,3.8,4.9,538,W,1,Nach früheren Angaben des Bundesverbandes Wärmepum,,,,,MED
7.1.4.2,Wärmepumpe / Umgebungswärme,280961.0367349919,52724.655603019186,,,,,,,,,LOW
7.1.4.3,Wärmepumpe / Umgebungswärme,207023.92180473084,41964.521806484656,,,,,,,,,LOW
7.1.4.3.1,Wärmepumpe / Umgebungswärme,1000.0,1000.0,,,,,,,,,LOW
7.1.4.3.2,Wärmepumpe / Umgebungswärme,207023.92180473084,41964.521806484656,,,,,,,,,LOW
7.1.4.3.3,Wärmepumpe / Umgebungswärme,3380079.0,3645799.0,,,,,,,,,LOW
7.1.4.3.4,Wärmepumpe / Umgebungswärme,0.241,1.1,,,,,,,,,LOW
7,Wärmepumpe / Umgebungswärme,,,,,,,,,,,ZERO
8,Geothermie / Tiefengeothermie,,,,,,,,,,,ZERO
8.1,Geothermie / Tiefengeothermie,57.0,0.0,,,,,,,,,LOW
8.1.1,Geothermie / Tiefengeothermie,3421.0,3421.0,,,,,,,,,LOW
8.1.2,Geothermie / Tiefengeothermie,194.997,0.0,,,,,,,,,LOW
