table,key,category,formula_type,ws_row_type,is_fixed,expression,description
Formula,4.4,renewable,status,all,False,Renewable_4_4_1 + Renewable_4_4_2,"Biogener Anteil der Abfälle (fest)
Biogenic share of solid waste"
Formula,4.4.1,renewable,status,all,True,,Bruttostromerzeugung
Formula,4.4.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 4.4.1: Bruttostromerzeugung
Formula,4.4.2,renewable,status,all,True,,Wärmenetze GW (Endenergie)
Formula,4.4.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 4.4.2: Wärmenetze GW (Endenergie)
Formula,4.4_ziel_target,renewable,ziel,all,False,Renewable_4_4_1 + Renewable_4_4_2,"Ziel formula for 4.4: Biogener Anteil der Abfälle (fest)
Biogenic share of solid waste"
Formula,4._ziel_target,renewable,ziel,all,False,Renewable_5_4_1 + Renewable_5_4_1_1 + Renewable_5_4_2 + Renewable_5_4_2_1 + Renewable_5_4_2_2 + Renewable_5_4_2_3 + Renewable_5_4_2_4 + Renewable_5_4_3 + Renewable_5_4_3_1 + Renewable_5_4_3_2 + Renewable_5_4_4 + Renewable_5_4_4_1 + Renewable_5_4_4_2 + Renewable_10_4_1 + Renewable_10_4_1_1 + Renewable_10_4_1_2 + Renewable_10_4_1_3 + Renewable_10_4_2 + Renewable_10_4_3 + Renewable_4_4 + Renewable_4_4_1 + Renewable_4_4_2 + Renewable_4_1 + Renewable_4_1_1 + Renewable_4_1_1_1 + Renewable_4_1_1_1_1 + Renewable_4_1_1_1_1_1 + Renewable_4_1_1_1_1_2 + Renewable_4_1_2 + Renewable_4_1_2_1 + Renewable_4_1_2_1_1 + Renewable_4_1_2_1_2 + Renewable_4_1_3 + Renewable_4_1_3_1 + Renewable_4_1_3_2 + Renewable_4_1_3_3 + Renewable_4_1_3_4 + Renewable_4_3 + Renewable_4_3_1 + Renewable_4_3_2 + Renewable_4_3_3 + Renewable_4_3_3_1 + Renewable_4_3_3_2 + Renewable_4_3_3_3 + Renewable_4_3_3_4 + Renewable_4_3_4 + Renewable_4_3_4_1 + Renewable_4_3_4_2 + Renewable_4_2 + Renewable_4_2_1 + Renewable_4_2_1_1 + Renewable_4_2_1_1_1 + Renewable_4_2_1_1_2 + Renewable_4_2_1_1_2_1 + Renewable_4_2_1_1_2_2 + Renewable_4_2_1_1_2_3 + Renewable_4_2_1_1_2_4 + Renewable_9_4_3_2 + Renewable_9_2_1_4_1 + Renewable_9_2_1_4_2 + Renewable_9_4_1 + Renewable_9_4_2 + Renewable_9_4_3 + Renewable_9_4_3_1 + Renewable_9_4_3_3 + Renewable_7_1_4_1 + Renewable_7_1_4_2 + Renewable_7_1_4_3 + Renewable_7_1_4_3_1 + Renewable_7_1_4_3_2 + Renewable_7_1_4_3_3 + Renewable_7_1_4_3_4,Ziel formula for 4.: Biogene Brennstoffe (fest)
Formula,5,renewable,status,all,True,,
Formula,5.1,renewable,status,all,False,LandUse_2.2.2,Anbaufläche Energiepflanzen für Biogas
Formula,5.1.1,renewable,status,all,True,,Biogas – Methanertrag
Formula,5.1.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.1.1: Biogas – Methanertrag
Formula,5.1.2,renewable,status,all,False,Renewable_5_1 * Renewable_5_1_1 / 1000,"Biogas aus Energiepflanzen-Anbau
Biogas from energy crop cultivation"
Formula,5.1.2_ziel_target,renewable,ziel,all,False,Renewable_5_1 * Renewable_5_1_1 / 1000,"Ziel formula for 5.1.2: Biogas aus Energiepflanzen-Anbau
Biogas from energy crop cultivation"
Formula,5.1_target,renewable,ziel,all,False,LandUse_2.2.2,Ziel formula for 5.1: Anbaufläche Energiepflanzen für Biogas
Formula,5.2,renewable,status,all,True,,Biogas aus Abfall-/Reststoffverwertung
Formula,5.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.2: Biogas aus Abfall-/Reststoffverwertung
Formula,5.3,renewable,status,all,True,,Biogas aus Kläranlagen und Deponien
Formula,5.3_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.3: Biogas aus Kläranlagen und Deponien
Formula,5.4,renewable,status,all,False,Renewable_5_1_2 + Renewable_5_2 + Renewable_5_3,"Biogasaufkommen insgesamt
Total biogas supply"
Formula,5.4.1,renewable,status,all,True,,davon Einsatz für Prozesswärme
Formula,5.4.1.1,renewable,status,all,False,Renewable_5_4 * Renewable_5_4_1 / 100,"Biogas für Prozesswärme
Biogas for process heat"
Formula,5.4.1.1_ziel_target,renewable,ziel,all,False,Renewable_5_4 * Renewable_5_4_1 / 100,"Ziel formula for 5.4.1.1: Biogas für Prozesswärme
Biogas for process heat"
Formula,5.4.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.1: davon Einsatz für Prozesswärme
Formula,5.4.2,renewable,status,all,True,,davon für Verstromung
Formula,5.4.2.1,renewable,status,all,True,,Nutzungsgrad Kraftwerk
Formula,5.4.2.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.2.1: Nutzungsgrad Kraftwerk
Formula,5.4.2.2,renewable,status,all,False,Renewable_5_4 * Renewable_5_4_2 / 100 * Renewable_5_4_2_1 / 100,"Bruttostromerzeugung
Gross electricity from biogas"
Formula,5.4.2.2_ziel_target,renewable,ziel,all,False,Renewable_5_4 * Renewable_5_4_2 / 100 * Renewable_5_4_2_1 / 100,"Ziel formula for 5.4.2.2: Bruttostromerzeugung
Gross electricity from biogas"
Formula,5.4.2.3,renewable,status,all,True,,Nutzungsgrad KWK-Abwärme effektiv
Formula,5.4.2.3_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.2.3: Nutzungsgrad KWK-Abwärme effektiv
Formula,5.4.2.4,renewable,status,all,False,Renewable_5_4 * (Renewable_5_4_2 / 100) * (Renewable_5_4_2_3 / 100),"Gebäudewärme (Endenergie)
Building heat from CHP waste heat"
Formula,5.4.2.4_ziel_target,renewable,ziel,all,False,Renewable_5_4 * (Renewable_5_4_2 / 100) * (Renewable_5_4_2_3 / 100),"Ziel formula for 5.4.2.4: Gebäudewärme (Endenergie)
Building heat from CHP waste heat"
Formula,5.4.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.2: davon für Verstromung
Formula,5.4.3,renewable,status,all,True,,davon Biomethan für mobile Anwendungen
Formula,5.4.3.1,renewable,status,all,True,,Nutzungsgrad Kraftstoffbereitstellung
Formula,5.4.3.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.3.1: Nutzungsgrad Kraftstoffbereitstellung
Formula,5.4.3.2,renewable,status,all,False,Renewable_5_4 * Renewable_5_4_3 / 100 * Renewable_5_4_3_1 / 100,"Biokraftstoff (gasförmig)
Gaseous biofuel (biomethane) for mobile applications"
Formula,5.4.3.2_ziel_target,renewable,ziel,all,False,Renewable_5_4 * Renewable_5_4_3 / 100 * Renewable_5_4_3_1 / 100,"Ziel formula for 5.4.3.2: Biokraftstoff (gasförmig)
Gaseous biofuel (biomethane) for mobile applications"
Formula,5.4.3_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.3: davon Biomethan für mobile Anwendungen
Formula,5.4.4,renewable,status,all,True,,davon Flüssigkraftstoff für mobile Anwendungen
Formula,5.4.4.1,renewable,status,all,True,,Nutzungsgrad Kraftstofferzeugung
Formula,5.4.4.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.4.1: Nutzungsgrad Kraftstofferzeugung
Formula,5.4.4.2,renewable,status,all,False,Renewable_5_4 * (Renewable_5_4_4 / 100) * (Renewable_5_4_4_1 / 100),"Biokraftstoff (flüssig)
Liquid biofuel from biogas"
Formula,5.4.4.2_ziel_target,renewable,ziel,all,False,Renewable_5_4 * (Renewable_5_4_4 / 100) * (Renewable_5_4_4_1 / 100),"Ziel formula for 5.4.4.2: Biokraftstoff (flüssig)
Liquid biofuel from biogas"
Formula,5.4.4_ziel_target,renewable,ziel,all,True,,Ziel formula for 5.4.4: davon Flüssigkraftstoff für mobile Anwendungen
Formula,5.4_ziel_target,renewable,ziel,all,False,Renewable_5_1_2 + Renewable_5_2 + Renewable_5_3,"Ziel formula for 5.4: Biogasaufkommen insgesamt
Total biogas supply"
Formula,5_ziel_target,renewable,ziel,all,True,,Ziel formula for 5: 
Formula,6,renewable,status,all,True,,Biogene Brennstoffe (flüssig)
Formula,6.1,renewable,status,all,True,Renewable_6_1_1 + Renewable_6_1_2 + Renewable_6_1_3 + Renewable_10_6_1_1 + Renewable_10_6_1_2 + Renewable_10_6_1_3,Biodiesel (inkl. Pflanzenöl)
Formula,6.1.1,renewable,status,all,True,lu_223_status,Anbaufläche Ölpflanzen für Biodiesel
Formula,6.1.1.1,renewable,status,all,True,,Biodiesel – Energieertrag
Formula,6.1.1.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.1.1.1: Biodiesel – Energieertrag
Formula,6.1.1.2,renewable,status,all,False,Renewable_6_1_1 * Renewable_6_1_1_1 / 1000,"Biodiesel aus eigenem Anbau
Biodiesel from domestic cultivation"
Formula,6.1.1.2_ziel_target,renewable,ziel,all,False,Renewable_6_1_1 * Renewable_6_1_1_1 / 1000,"Ziel formula for 6.1.1.2: Biodiesel aus eigenem Anbau
Biodiesel from domestic cultivation"
Formula,6.1.1_target,renewable,ziel,all,False,lu_223_target,Ziel formula for 6.1.1: Anbaufläche Ölpflanzen für Biodiesel
Formula,6.1.2,renewable,status,all,True,,Biodiesel aus Import (+) / Export (-)
Formula,6.1.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.1.2: Biodiesel aus Import (+) / Export (-)
Formula,6.1.3,renewable,status,all,False,Renewable_6_1_1_2 + Renewable_6_1_2,"Biodiesel Gesamtaufkommen
Total biodiesel supply (domestic + import)"
Formula,6.1.3.1,renewable,status,all,True,,davon Einsatz für mobile Anwendungen
Formula,6.1.3.1.1,renewable,status,all,False,Renewable_6_1_3 * Renewable_6_1_3_1 / 100,"Biokraftstoff (flüssig)
Biodiesel for mobile applications"
Formula,6.1.3.1.1_ziel_target,renewable,ziel,all,False,Renewable_6_1_3 * Renewable_6_1_3_1 / 100,"Ziel formula for 6.1.3.1.1: Biokraftstoff (flüssig)
Biodiesel for mobile applications"
Formula,6.1.3.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.1.3.1: davon Einsatz für mobile Anwendungen
Formula,6.1.3.2,renewable,status,all,True,,davon Einsatz für Verstromung
Formula,6.1.3.2.1,renewable,status,all,True,,Nutzungsgrad Blockheizkraftwerk
Formula,6.1.3.2.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.1.3.2.1: Nutzungsgrad Blockheizkraftwerk
Formula,6.1.3.2.2,renewable,status,all,False,Renewable_6_1_3 * Renewable_6_1_3_2 * Renewable_6_1_3_2_1 / 10000,"Bruttostromerzeugung
Electricity from biodiesel CHP"
Formula,6.1.3.2.2_ziel_target,renewable,ziel,all,False,Renewable_6_1_3 * Renewable_6_1_3_2 * Renewable_6_1_3_2_1 / 10000,"Ziel formula for 6.1.3.2.2: Bruttostromerzeugung
Electricity from biodiesel CHP"
Formula,6.1.3.2.3,renewable,status,all,True,,Nutzungsgrad KWK-Abwärme effektiv
Formula,6.1.3.2.3_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.1.3.2.3: Nutzungsgrad KWK-Abwärme effektiv
Formula,6.1.3.2.4,renewable,status,all,False,Renewable_6_1_3 * (Renewable_6_1_3_2 / 100) * (Renewable_6_1_3_2_3 / 100),"Gebäudewärme (Endenergie)
Building heat from biodiesel CHP"
Formula,6.1.3.2.4_ziel_target,renewable,ziel,all,False,Renewable_6_1_3 * (Renewable_6_1_3_2 / 100) * (Renewable_6_1_3_2_3 / 100),"Ziel formula for 6.1.3.2.4: Gebäudewärme (Endenergie)
Building heat from biodiesel CHP"
Formula,6.1.3.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.1.3.2: davon Einsatz für Verstromung
Formula,6.1.3_ziel_target,renewable,ziel,all,False,Renewable_6_1_1_2 + Renewable_6_1_2,"Ziel formula for 6.1.3: Biodiesel Gesamtaufkommen
Total biodiesel supply (domestic + import)"
Formula,6.1_ziel_target,renewable,ziel,all,True,Renewable_6_1_1 + Renewable_6_1_2 + Renewable_6_1_3 + Renewable_10_6_1_1 + Renewable_10_6_1_2 + Renewable_10_6_1_3,Ziel formula for 6.1: Biodiesel (inkl. Pflanzenöl)
