sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
8. Kennzahlen,96,,0 / 0,,,,,,
8. Kennzahlen,97,,0 / 0,,,,,,
8. Kennzahlen,98,,0 / 0,,,,,,
8. Kennzahlen,99,,0 / 0,,,,,,
8. Kennzahlen,100,,0 / 0,,,,,,
8. Kennzahlen,101,,0 / 0,,,,,,
8. Kennzahlen,102,,0 / 0,,,,,,
8. Kennzahlen,103,,0 / 0,,,,,,
8. Kennzahlen,104,,0 / 0,,,,,,
8. Kennzahlen,105,,0 / 0,,,,,,
8. Kennzahlen,106,,0 / 0,,,,,,
8. Kennzahlen,107,,0 / 0,,,,,,
8. Kennzahlen,108,,0 / 0,,,,,,
8. Kennzahlen,109,,0 / 0,,,,,,
8. Kennzahlen,110,,0 / 0,,,,,,
8. Kennzahlen,111,,0 / 0,,,,,,
8. Kennzahlen,112,,0 / 0,,,,,,
8. Kennzahlen,113,,0 / 0,,,,,,
8. Kennzahlen,114,,0 / 0,,,,,,
8. Kennzahlen,115,,0 / 0,,,,,,
8. Kennzahlen,116,,0 / 0,,,,,,
8. Kennzahlen,117,,0 / 0,,,,,,
8. Kennzahlen,118,,0 / 0,,,,,,
8. Kennzahlen,119,,0 / 0,,,,,,
8. Kennzahlen,120,,0 / 0,,,,,,
8. Kennzahlen,121,,0 / 0,,,,,,
8. Kennzahlen,122,,0 / 0,,,,,,
8. Kennzahlen,123,,0 / 0,,,,,,
8. Kennzahlen,124,,0 / 0,,,,,,
8. Kennzahlen,125,,0 / 0,,,,,,
8. Kennzahlen,126,,0 / 0,,,,,,
8. Kennzahlen,127,,0 / 0,,,,,,
8. Kennzahlen,128,,0 / 0,,,,,,
