sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
7. Verbrauch Status,63,G,BS.2.b   Wärme-Endverbrauch pro Einwohner nach Quellen / Fern-HeizKRAFTwerke,,,,,,
7. Verbrauch Status,64,G,BS.2.b   Wärme-Endverbrauch pro Einwohner nach Quellen / Nahwärme Abw./erneuerb.,,,,,,
7. Verbrauch Status,65,,BS.2.b   Wärme-Endverbrauch pro Einwohner nach Quellen / Nahwärme Abw./erneuerb.,,,,,,
7. Verbrauch Status,66,F,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich,,,,,,
7. Verbrauch Status,67,G,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Jahresnutzungsgrad in %,,,,,,
7. Verbrauch Status,68,G,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Strom,,,,,,
7. Verbrauch Status,69,G,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Brennst.gasförmig,,,,,,
7. Verbrauch Status,70,G,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Brennst.flüssig,,,,,,
7. Verbrauch Status,71,G,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Brennst.fest,,,,,,
7. Verbrauch Status,72,G,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,73,,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,74,,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,75,,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,76,,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,77,,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,78,,BS.2.c   Jahresnutzungsgrade Endenergie-Anwendung im Wärmebereich / Wärme-Endverbr.,,,,,,
7. Verbrauch Status,79,F,Endenergieverbrauch Zielregion Status (2012) mit Wärme regional,,,,,,
7. Verbrauch Status,80,G,Endenergieverbrauch Zielregion Status (2012) mit Wärme regional / Endenergie in GWh / Anwendung,,,,,,
7. Verbrauch Status,81,H,"Endenergieverbrauch Zielregion Status (2012) mit Wärme regional / Endenergie in GWh / Kraft/Licht/
IKT/Kälte",,,,,,
7. Verbrauch Status,82,,"Endenergieverbrauch Zielregion Status (2012) mit Wärme regional / Endenergie in GWh / Kraft/Licht/
IKT/Kälte",,,,,,
7. Verbrauch Status,83,F,Endenergie-Träger / Strom / 329214.0656749311,,,,,,
7. Verbrauch Status,84,,Endenergie-Träger / Strom / 329214.0656749311,,,,,,
7. Verbrauch Status,85,G,Endenergie-Träger / Brennst.gasförm. / 0,,,,,,
7. Verbrauch Status,86,,Endenergie-Träger / Brennst.gasförm. / 0,,,,,,
7. Verbrauch Status,87,G,Endenergie-Träger / Brennst.flüssig / 0,,,,,,
7. Verbrauch Status,88,,Endenergie-Träger / Brennst.flüssig / 0,,,,,,
7. Verbrauch Status,89,G,Endenergie-Träger / Brennst.fest / 0,,,,,,
7. Verbrauch Status,90,,Endenergie-Träger / Brennst.fest / 0,,,,,,
7. Verbrauch Status,91,G,Endenergie-Träger / Wärme / 0,,,,,,
7. Verbrauch Status,92,,Endenergie-Träger / Wärme / 0,,,,,,
7. Verbrauch Status,93,G,Endenergie-Träger / Nahwärme Abw./erneuerb. / 329214.0656749311,,,,,,
7. Verbrauch Status,94,,Endenergie-Träger / Nahwärme Abw./erneuerb. / 329214.0656749311,,,,,,
7. Verbrauch Status,95,,Endenergie-Träger / Nahwärme Abw./erneuerb. / 329214.0656749311,,,,,,
7. Verbrauch Status,96,F,BS.3.i   Primärenergieverbrauch 2023,,,,,,
7. Verbrauch Status,97,,BS.3.i   Primärenergieverbrauch 2023,,,,,,
7. Verbrauch Status,98,F,Primärenergieverbrauch Deutschland,,,,,,
7. Verbrauch Status,99,F,davon erneuerbar / #REF!,,,,,,
7. Verbrauch Status,100,F,davon nicht erneuerbar,,,,,,
7. Verbrauch Status,101,F,Kilowattstunden pro Einwohner,,,,,,
