sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
2. Erneuerbare,111,H,+ / Biogasaufkommen insgesamt / davon für Verstromung / Nutzungsgrad KWK-Abwärme effektiv,21.888800635424943,25,%,1.412,2. Erneuerbare!L111,2. Erneuerbare!M111
2. Erneuerbare,112,H,+ / Biogasaufkommen insgesamt / davon für Verstromung / Gebäudewärme (Endenergie),19431.7392172003,0,GWh/a,,2. Erneuerbare!L112,2. Erneuerbare!M112
2. Erneuerbare,113,,+ / Biogasaufkommen insgesamt / davon für Verstromung / Gebäudewärme (Endenergie),,,,,2. Erneuerbare!L113,2. Erneuerbare!M113
2. Erneuerbare,114,G,+ / Biogasaufkommen insgesamt / davon Biomethan für mobile Anwendungen,1.2498871057044014,84.48306125576423,%,1.419,2. Erneuerbare!L114,2. Erneuerbare!M114
2. Erneuerbare,115,H,+ / Biogasaufkommen insgesamt / davon Biomethan für mobile Anwendungen / Nutzungsgrad Kraftstoffbereitstellung,98,98,%,1.424,2. Erneuerbare!L115,2. Erneuerbare!M115
2. Erneuerbare,116,H,+ / Biogasaufkommen insgesamt / davon Biomethan für mobile Anwendungen / Biokraftstoff (gasförmig),1131.580013848367,91567.12976330396,GWh/a,,2. Erneuerbare!L116,2. Erneuerbare!M116
2. Erneuerbare,117,,+ / Biogasaufkommen insgesamt / davon Biomethan für mobile Anwendungen / Biokraftstoff (gasförmig),,,,,2. Erneuerbare!L117,2. Erneuerbare!M117
2. Erneuerbare,118,G,+ / Biogasaufkommen insgesamt / davon Flüssigkr.stoff für mobile Anwendungen,2.6549996587285007,0,%,1.431,2. Erneuerbare!L118,2. Erneuerbare!M118
2. Erneuerbare,119,H,+ / Biogasaufkommen insgesamt / davon Flüssigkr.stoff für mobile Anwendungen / Nutzungsgrad Kraftstofferzeugung,45,45,%,1.435,2. Erneuerbare!L119,2. Erneuerbare!M119
2. Erneuerbare,120,H,+ / Biogasaufkommen insgesamt / davon Flüssigkr.stoff für mobile Anwendungen / Biokraftstoff (flüssig),1103.7364581266124,0,GWh/a,,2. Erneuerbare!L120,2. Erneuerbare!M120
2. Erneuerbare,121,,+ / Biogasaufkommen insgesamt / davon Flüssigkr.stoff für mobile Anwendungen / Biokraftstoff (flüssig),,,,,2. Erneuerbare!L121,2. Erneuerbare!M121
2. Erneuerbare,122,E,Biogene Brennstoffe (flüssig),,,,,2. Erneuerbare!L122,2. Erneuerbare!M122
2. Erneuerbare,123,F,Biogene Brennstoffe (flüssig) / Biodiesel (inkl. Pflanzenöl),,,,#REF!,2. Erneuerbare!L123,2. Erneuerbare!M123
2. Erneuerbare,124,G,Biogene Brennstoffe (flüssig) / Biodiesel (inkl. Pflanzenöl) / Anbaufläche Ölpflanzen für Biodiesel,665000,303000,ha,,2. Erneuerbare!L124,2. Erneuerbare!M124
2. Erneuerbare,125,H,Biogene Brennstoffe (flüssig) / Biodiesel (inkl. Pflanzenöl) / Anbaufläche Ölpflanzen für Biodiesel / Biodiesel - Energieertrag,17.75,14.200000000000001,MWh/ha/a,1.450,2. Erneuerbare!L125,2. Erneuerbare!M125
2. Erneuerbare,126,F,Biogene Brennstoffe (flüssig) / + / Biodiesel aus eigenem Anbau,11803.75,4302.6,GWh/a,,2. Erneuerbare!L126,2. Erneuerbare!M126
