model,code,label,origin,rationale
RenewableData,4.2.1.1.2.1,davon für Gebäudewärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,4.2.1.1.2.2,davon für Prozesswärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,4.2.1.1.2.3,davon für Verstromung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,4.2.1.1.2.4,davon für Wärmenetze GW,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,1,Solarenergie,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9,Stromwandlung / Stromspeicherung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3,Langzeitspeicherung Strom stofflich (saisonaler Ausgleich > 1 Tag),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.1.1,Nutzungsgrad Stromspeicherung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.3,Erforderliche Speicherkapazität,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.4.3.2,inkl. Kurzzeitspeicher,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.1,Bruttostromerzeugung aus Erneuerbaren Energien gesamt (inkl. Abregelung),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.1.1,aus Windenergie,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.1.2,aus Solarenergie (Photovoltaik),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.1.3,aus Wasserkraft + Tiefengeothermie,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.1.4,aus Biobrennstoffen,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2,Bruttostromerzeugung Erneuerbar (inkl. Abregelung),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1,"Wasser-Elektrolyse (H₂ für Brennstoff, Kraftstoff- und Grundstoff-Synthese)",internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.1,Wasserstoff als Brennstoff für PW,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.1.1,Wasserstoff (komprim.) f. FC-Traktion,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.1.1.1,Nutzungsgrad tankfähiger Wasserstoff,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.1.2,Wasserstoff für MA mit FC-Traktion,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.2,Kraftstoff (gasförm. Methan) für MA aus H₂,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.2.1,Nutzungsgrad Methansynthese,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.2.2,Wasserstoff für Kraftstoffsynthese,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.3,Kraftstoffe (flüssig) für MA aus H₂,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.3.1,Nutzungsgrad Kraftstofferzeugung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.3.2,Wasserstoff für Kraftstoffsynthese,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.4,Synth. Methan als Grundstoff,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.4.1,Nutzungsgrad Methansynthese,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.4.2,Wasserstoff für Grundstoffsynthese,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.5,Wasserstofferzeugung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.5.1,Nutzungsgrad Wasserelektrolyse,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.5.2,Stromeinsatz Wasserstofferzeugung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.2.1.5.2.1,davon in der Zielregion,internal,no D.xlsx 1. parameter row or ancestor matches
