section,carrier_role,sector,view,excel_cell,engine_value,excel_value,drift,verdict
Brennstoff fest,renewable,total,status,U19,NO_ENGINE_EQUIV,113951.6256391974,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,KLIK,status,J20,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,GW,status,M20,NO_ENGINE_EQUIV,61246.92863628786,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,PW,status,P20,NO_ENGINE_EQUIV,91926.89375022636,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,MA,status,S20,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,total,status,V20,NO_ENGINE_EQUIV,153173.82238651422,,NO_ENGINE_EQUIV
Wärme,total,KLIK,status,H21,0,,inf,NO_MATCH
Wärme,total,GW,status,K21,133464.15331559998,133580.49552011894,0.000871,PASS
Wärme,total,PW,status,N21,143847.161152695,143571.54256124247,0.001916,PASS_LOOSE
Wärme,total,MA,status,Q21,0,,inf,NO_MATCH
Wärme,total,total,status,T21,277311.31446829496,277152.03808136145,0.000574,PASS
Wärme,renewable,KLIK,status,I22,0,,inf,NO_MATCH
Wärme,renewable,GW,status,L22,0,32782.79317886679,1.000000,DRIFT
Wärme,renewable,PW,status,O22,0.0,,inf,NO_MATCH
Wärme,renewable,MA,status,R22,0,,inf,NO_MATCH
Wärme,renewable,total,status,U22,0,32782.79317886679,1.000000,DRIFT
Wärme,fossil,KLIK,status,J24,0,,inf,NO_MATCH
Wärme,fossil,GW,status,M24,109394.94614059998,17645.25893098387,0.838701,DRIFT
Wärme,fossil,PW,status,P24,143847.161152695,,inf,NO_MATCH
Wärme,fossil,MA,status,S24,0,,inf,NO_MATCH
Wärme,fossil,total,status,V24,253242.10729329498,17645.25893098387,0.930323,DRIFT
Gesamt,total,KLIK,status,H25,329345.68559999997,329214.0656749311,0.000400,PASS
Gesamt,total,GW,status,K25,799186.5467999999,798867.2532382089,0.000400,PASS
Gesamt,total,PW,status,N25,550370.9018535478,555394.5695538963,0.009045,PASS_LOOSE
Gesamt,total,MA,status,Q25,753713.0,753712.784407383,0.000000,PASS_COSMETIC
Gesamt,total,total,status,T25,2432616.1342535475,2437188.6728744195,0.001876,PASS_LOOSE
Gesamt,renewable,KLIK,status,I26,172995.4884722678,171003.68337655472,0.011514,DRIFT
Gesamt,renewable,GW,status,L26,17211.345393769323,172289.86088316783,0.900102,DRIFT
Gesamt,renewable,PW,status,O26,37620.32264759194,65635.52034126216,0.426830,DRIFT
Gesamt,renewable,MA,status,R26,14779.00224440992,50522.98828388071,0.707480,DRIFT
Gesamt,renewable,total,status,U26,242606.158758039,459452.05288486544,0.471966,DRIFT
Gesamt,fossil,KLIK,status,J27,156350.19712773216,158210.38229837638,0.011758,DRIFT
