db_code,db_name,db_category,db_subcategory,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,oos_reason
6.1.3.1.1,Biokraftstoff (flüssig),Biogene Brennstoffe (flüssig),Biodiesel Details,GWh/a,2. Erneuerbare,120,Biokraftstoff (flüssig),2. Erneuerbare!L120,2. Erneuerbare!M120,
6.1.3.2,davon Einsatz für Verstromung,Biogene Brennstoffe (flüssig),Biodiesel Details,%,2. Erneuerbare,133,davon Einsatz für Verstromung,2. Erneuerbare!L133,2. Erneuerbare!M133,
6.1.3.2.1,Nutzungsgrad Blockheizkraftwerk,Biogene Brennstoffe (flüssig),Biodiesel Details,%,2. Erneuerbare,134,Nutzungsgrad Blockheizkraftwerk,2. Erneuerbare!L134,2. Erneuerbare!M134,
6.1.3.2.2,Bruttostromerzeugung,Biogene Brennstoffe (flüssig),Biodiesel Details,GWh/a,2. Erneuerbare,135,Bruttostromerzeugung,2. Erneuerbare!L135,2. Erneuerbare!M135,
6.1.3.2.3,Nutzungsgrad KWK-Abwärme effektiv,Biogene Brennstoffe (flüssig),Biodiesel Details,%,2. Erneuerbare,136,Nutzungsgrad KWK-Abwärme effektiv,2. Erneuerbare!L136,2. Erneuerbare!M136,
6.1.3.2.4,Gebäudewärme (Endenergie),Biogene Brennstoffe (flüssig),Biodiesel Details,GWh/a,2. Erneuerbare,137,Gebäudewärme (Endenergie),2. Erneuerbare!L137,2. Erneuerbare!M137,
6.2,Bioethanol,Biogene Brennstoffe (flüssig),Bioethanol,,2. Erneuerbare,139,Bioethanol,2. Erneuerbare!L139,2. Erneuerbare!M139,
6.2.1,Anbaufläche Energiepflanzen für Bioethanol,Biogene Brennstoffe (flüssig),Bioethanol Anbau,ha,2. Erneuerbare,57,Anbaufläche,2. Erneuerbare!L57,2. Erneuerbare!M57,
6.2.1.1,Bioethanol – Energieertrag (brutto),Biogene Brennstoffe (flüssig),Bioethanol Details,MWh/ha/a,2. Erneuerbare,141,Bioethanol - Energieertrag (brutto),2. Erneuerbare!L141,2. Erneuerbare!M141,
6.2.1.2,Bioethanol aus eigenem Anbau,Biogene Brennstoffe (flüssig),Bioethanol Details,GWh/a,2. Erneuerbare,142,+ Bioethanol aus eigenem Anbau,2. Erneuerbare!L142,2. Erneuerbare!M142,
6.2.2,Bioethanol aus Import (+) / Export (-),Biogene Brennstoffe (flüssig),Bioethanol Anbau,GWh/a,2. Erneuerbare,144,+ Bioethanol aus Import (+) / Export (-),2. Erneuerbare!L144,2. Erneuerbare!M144,
6.2.3,Bioethanol gesamt – Mobile Anwendungen,Biogene Brennstoffe (flüssig),Bioethanol Anbau,GWh/a,2. Erneuerbare,139,Bioethanol,2. Erneuerbare!L139,2. Erneuerbare!M139,
7,Umgebungswärme (Wärmepumpe),Umgebungswärme,Wärmepumpe,,2. Erneuerbare,147,Umgebungswärme (Wärmepumpe),2. Erneuerbare!L147,2. Erneuerbare!M147,
