excel_sheet,excel_ref,cached_value,formula_text,row,col
5. Bilanz,P11,36950.451128897155,=N9-O10,11,P
5. Bilanz,S11,677.3408556792092,=Q9-R10,11,S
5. Bilanz,V11,211637.86158400515,=SUM(J11:S11),11,V
5. Bilanz,W11,= [9] - [10] ,"=""= ""&C9&""- ""&C10",11,W
5. Bilanz,Y11,211637.86158400515,=SUM(V11:V11),11,Y
5. Bilanz,A12,S.5.12,=AT$1&B12,12,A
5. Bilanz,B12,5.12,=AV$1&D12,12,B
5. Bilanz,C12,[12] ,"=""[""&D12&""] """,12,C
5. Bilanz,D12,12,=ROW(),12,D
5. Bilanz,G12,Verbr.Brennst.gasf.,,12,G
5. Bilanz,K12,346430.05089072546,='7. Verbrauch Status'!K13,12,K
5. Bilanz,N12,192513.58951790634,='7. Verbrauch Status'!N13,12,N
5. Bilanz,Q12,9195.668593553719,='7. Verbrauch Status'!Q13,12,Q
5. Bilanz,T12,548139.3090021855,=SUM(H12:S12),12,T
5. Bilanz,W12,[7.13],"=""[""&'7. Verbrauch Status'!B13&""]""",12,W
5. Bilanz,A13,S.5.13,=AT$1&B13,13,A
5. Bilanz,B13,5.13,=AV$1&D13,13,B
5. Bilanz,C13,[13] ,"=""[""&D13&""] """,13,C
5. Bilanz,D13,13,=ROW(),13,D
5. Bilanz,G13,erneuerbar,,13,G
5. Bilanz,L13,0,='2. Erneuerbare'!L241,13,L
5. Bilanz,O13,0,='2. Erneuerbare'!L250,13,O
5. Bilanz,R13,1131.580013848367,='2. Erneuerbare'!L261,13,R
5. Bilanz,U13,1131.580013848367,=SUM(J13:R13),13,U
5. Bilanz,W13,[2.241] [2.250] [2.261],"=""[""&'2. Erneuerbare'!B241&""] [""&'2. Erneuerbare'!B250&""] [""&'2. Erneuerbare'!B261&""]""",13,W
5. Bilanz,A14,S.5.14,=AT$1&B14,14,A
5. Bilanz,B14,5.14,=AV$1&D14,14,B
5. Bilanz,C14,[14] ,"=""[""&D14&""] """,14,C
5. Bilanz,D14,14,=ROW(),14,D
5. Bilanz,G14,fossil     ,,14,G
5. Bilanz,M14,346430.05089072546,=K12-L13,14,M
5. Bilanz,P14,192513.58951790634,=N12-O13,14,P
5. Bilanz,S14,8064.0885797053525,=Q12-R13,14,S
5. Bilanz,V14,547007.7289883371,=SUM(I14:S14),14,V
5. Bilanz,W14,= [12] - [13] ,"=""= ""&C12&""- ""&C13",14,W
5. Bilanz,A15,S.5.15,=AT$1&B15,15,A
5. Bilanz,B15,5.15,=AV$1&D15,15,B
5. Bilanz,C15,[15] ,"=""[""&D15&""] """,15,C
5. Bilanz,D15,15,=ROW(),15,D
5. Bilanz,G15,Verbr.Brennst.flüssig,,15,G
5. Bilanz,K15,136478.33441230486,='7. Verbrauch Status'!K15,15,K
5. Bilanz,N15,24796.57225436181,='7. Verbrauch Status'!N15,15,N
5. Bilanz,Q15,729217.1031462443,='7. Verbrauch Status'!Q15,15,Q
5. Bilanz,T15,890492.009812911,=SUM(H15:S15),15,T
5. Bilanz,W15,[7.15],"=""[""&'7. Verbrauch Status'!B15&""]""",15,W
5. Bilanz,A16,S.5.16,=AT$1&B16,16,A
5. Bilanz,B16,5.16,=AV$1&D16,16,B
5. Bilanz,C16,[16] ,"=""[""&D16&""] """,16,C
5. Bilanz,D16,16,=ROW(),16,D
5. Bilanz,G16,erneuerbar,,16,G
5. Bilanz,L16,0,='2. Erneuerbare'!L242,16,L
5. Bilanz,O16,0,='2. Erneuerbare'!L252,16,O
5. Bilanz,R16,34768.736458126616,='2. Erneuerbare'!L262,16,R
5. Bilanz,U16,34768.736458126616,=SUM(J16:R16),16,U
5. Bilanz,W16,[2.242] [2.252] [2.262],"=""[""&'2. Erneuerbare'!B242&""] [""&'2. Erneuerbare'!B252&""] [""&'2. Erneuerbare'!B262&""]""",16,W
5. Bilanz,A17,S.5.17,=AT$1&B17,17,A
5. Bilanz,B17,5.17,=AV$1&D17,17,B
