day,field,our_value,excel_cell,excel_value,drift,verdict
1,wind_promille,4.699376525279702,C157,4.699376525279702,0.0,EXACT
1,solar_promille,0.800145624702351,D157,0.800145624702351,0.0,EXACT
1,heizung_abwaerm_promille,2.5878179054351333,E157,2.5878179054351333,0.0,EXACT
1,verbrauch_promille,2.1624863679761215,F157,2.1624863679761215,0.0,EXACT
2,wind_promille,4.6734141867455135,C158,4.6734141867455135,0.0,EXACT
2,solar_promille,0.6202826969994315,D158,0.6202826969994315,0.0,EXACT
2,heizung_abwaerm_promille,2.591014996362653,E158,2.591014996362653,0.0,EXACT
2,verbrauch_promille,2.7154386122480227,F158,2.7154386122480227,0.0,EXACT
3,wind_promille,3.010503389242047,C159,3.010503389242047,0.0,EXACT
3,solar_promille,0.8134746715590468,D159,0.8134746715590468,0.0,EXACT
3,heizung_abwaerm_promille,2.594212087290174,E159,2.594212087290174,0.0,EXACT
3,verbrauch_promille,2.8204610948168867,F159,2.8204610948168867,0.0,EXACT
4,wind_promille,7.642221125671519,C160,7.642221125671519,0.0,EXACT
4,solar_promille,0.2471734828311987,D160,0.24717348283119875,2.2458376438854425e-16,PASS_COSMETIC
4,heizung_abwaerm_promille,2.5974091782176956,E160,2.5974091782176956,0.0,EXACT
4,verbrauch_promille,3.0642157057428787,F160,3.0642157057428787,0.0,EXACT
5,wind_promille,4.89423109652362,C161,4.89423109652362,0.0,EXACT
5,solar_promille,0.4129515229897929,D161,0.41295152298979293,1.3442534569034613e-16,PASS_COSMETIC
5,heizung_abwaerm_promille,2.6006062691452145,E161,2.6006062691452145,0.0,EXACT
5,verbrauch_promille,2.912420427335901,F161,2.912420427335901,0.0,EXACT
6,wind_promille,4.551604825379425,C162,4.551604825379425,0.0,EXACT
6,solar_promille,0.5436259680989699,D162,0.5436259680989699,0.0,EXACT
6,heizung_abwaerm_promille,2.603803360072736,E162,2.603803360072736,0.0,EXACT
6,verbrauch_promille,2.787890343774762,F162,2.787890343774762,0.0,EXACT
7,wind_promille,4.086234562736498,C163,4.086234562736498,0.0,EXACT
7,solar_promille,0.8473290927774122,D163,0.8473290927774122,0.0,EXACT
7,heizung_abwaerm_promille,2.607000451000257,E163,2.607000451000257,0.0,EXACT
7,verbrauch_promille,2.5216260380796194,F163,2.5216260380796194,0.0,EXACT
8,wind_promille,4.352159674179504,C164,4.352159674179504,0.0,EXACT
8,solar_promille,0.4230218555046141,D164,0.42302185550461413,1.3122525587960393e-16,PASS_COSMETIC
8,heizung_abwaerm_promille,2.6101975419277776,E164,2.6101975419277776,0.0,EXACT
8,verbrauch_promille,2.456267135463493,F164,2.456267135463493,0.0,EXACT
9,wind_promille,3.785132573199701,C165,3.7851325731997005,1.173246118232152e-16,PASS_COSMETIC
9,solar_promille,0.4749757192968087,D165,0.4749757192968087,0.0,EXACT
9,heizung_abwaerm_promille,2.6133946328552975,E165,2.6133946328552975,0.0,EXACT
9,verbrauch_promille,3.0237835766736816,F165,3.0237835766736816,0.0,EXACT
10,wind_promille,4.236838262211625,C166,4.236838262211625,0.0,EXACT
10,solar_promille,0.5342797943267874,D166,0.5342797943267874,0.0,EXACT
10,heizung_abwaerm_promille,2.616591723782819,E166,2.616591723782819,0.0,EXACT
10,verbrauch_promille,3.13842084356943,F166,3.13842084356943,0.0,EXACT
